,单价,建筑面积,总楼层,有无电梯,挂牌时间,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
10,0.23387526081317317,0.19011857707509883,0.5158064516129032,0.99,0.7718113207547234,0.19713567839195983,0.8235849056603763,0.6399999999999999,0.11773049645390073,0.01,0.045139442231075695,0.08394619028991177,0.9900000000000002,0.43,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01
11,0.22160660914678848,0.08940711462450593,0.08903225806451612,0.01,0.978905660377363,0.03462311557788945,0.4167924528301882,0.43,0.13163120567375888,0.01,0.29501992031872515,0.11065371408701699,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
12,0.46657437169871613,0.2501581027667984,0.3893548387096774,0.01,0.978905660377363,0.275929648241206,0.8975471698113171,0.43,0.1781985815602837,0.01,0.10760956175298804,0.10226235493545442,0.9900000000000002,0.57,0.5,0.402,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
13,0.22473824695952935,0.16300395256916994,0.4367741935483871,0.99,0.8716603773584976,0.32025125628140705,0.9530188679245226,0.5,0.13163120567375888,0.01,0.09589641434262948,0.01626157256487156,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
14,0.20434575837891691,0.14557312252964424,0.01,0.99,0.8383773584905728,0.12326633165829146,0.6756603773584878,0.57,0.08297872340425533,0.01,0.2637848605577689,0.18396096840092147,0.9900000000000002,0.29,0.5,0.20600000000000002,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
15,0.3607802778247711,0.1475098814229249,0.5158064516129032,0.99,0.6978490566037686,0.29365829145728645,0.8975471698113171,0.472,0.13858156028368798,0.01,0.0841832669322709,0.07201938540444212,0.9900000000000002,0.43,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
16,0.2601810184401962,0.19399209486166005,0.42096774193548386,0.99,0.8420754716981185,0.3301005025125628,0.9530188679245226,0.43,0.13163120567375888,0.01,0.06466135458167331,0.05604598600425957,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
17,0.4180892497979285,0.1475098814229249,0.5158064516129032,0.99,0.9863018867924543,0.3596482412060301,0.9530188679245226,0.43,0.13163120567375888,0.01,0.045139442231075695,0.039646629286738816,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
18,0.1135282618094325,0.0700395256916996,0.08903225806451612,0.01,0.8309811320754676,0.044472361809045236,0.3428301886792404,0.43,0.10243971631205674,0.01,0.17788844621513947,0.09063372017212153,0.9900000000000002,0.29,0.255,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
19,0.1011859245474539,0.12814229249011855,0.10483870967741934,0.01,0.867962264150938,0.01492462311557789,0.45377358490565856,0.43,0.13163120567375888,0.01,0.24426294820717132,0.12684009214586864,0.9900000000000002,0.43,0.255,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
