,建筑面积,单价,总楼层,有无电梯,挂牌时间,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
209,185,24324,33.0,0,19557.0,2.5,2014,36,2.5,0,31,1960.0,70,5.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
210,166,30120,19.0,0,19557.0,2.8,2015,45,2.79,0,5,458.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
211,77,16234,32.0,0,19523.0,2.3,2016,30,2.49,0,11,1386.0,70,2.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
212,166,39135,28.0,1,19557.0,2.7,2016,48,2.36,0,107,2199.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
213,95,11465,18.0,0,19560.0,0.2,2006,5,1.0,0,9,218.0,70,3.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
214,158,25253,8.0,0,19533.0,1.75,2010,46,1.4,0,47,1823.0,70,4.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
215,86,20349,33.0,0,19523.0,1.7,2015,35,0.99,0,137,6232.0,70,2.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
216,147,24830,18.0,1,19567.0,3.2,2021,30,2.5,0,12,436.0,70,4.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
217,86,20930,33.0,0,19523.0,1.7,2015,35,0.99,0,137,6232.0,70,2.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
218,95,16316,25.0,0,19544.0,1.25,2011,42,1.8,0,43,2502.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
